
# Generated 1200 puzzle(s) in 821.11 seconds | 13.82 avg clues/puzzle

# Command line: python gen_puzzles.py -pt lime -r 1604463027 -n 1200 -mint 2 -maxt 2 -o ./puzzledata/lime-med-V2.tsv
puzzle-960	lime	..................2....5321..2..5.3............2..34.......2.3...................	..O....OO....OO.O..OO.O....O...O.O.......OOO.OO.O.....O.....O.O...O.O..O.OOO.....	{"work": 30, "mta": 2, "logic_history": "Mgc,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-962	lime	.....3.2...2.........3..4.2.45.....1...3......3..1.............2..3.3............	O...O...O....OO..O.OO....O....O.OO...OO...O..O..O...O.......OOO.OO.O....O..O.O...	{"work": 30, "mta": 2, "logic_history": "Ecx,Ecx,Mpc,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-1108	lime	.3..............3.......22.............434........4......42..........3.3..1......	O..O...O.OO....O.....O.O..O.O.OO.....O....OO...O.O.O....O..O..OO.O....O.....OO..O	{"work": 30, "mta": 2, "logic_history": "Mgc,Ecx,Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-197	lime	..................1....22..23...34...3...4....31.....................3...23...2..	O..O..O....OO....O.O..O..O...O.O..O.O.....OO.O...OO....O....O.O.OO..O......O.O..O	{"work": 32, "mta": 2, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Mamc,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx"}
puzzle-658	lime	.....................454..2........2...3....1..6......2.4.....2.......3..........	O.....O.O...OOO...O.O....O.....OO.O..OO...O...O.O..O...O.O...O.....OO..OO.O.....O	{"work": 32, "mta": 2, "logic_history": "Ecx,ECx,Ecx,ECx,Mamc,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-681	lime	................3..2........3...1.....11...3.........1...2...2.......3......23...	.OO....O....OO...O..OO...O.O..O...O.O....O..OO....OO...O..O.O...O..OO.....O...O.O	{"work": 33, "mta": 2, "logic_history": "Ecx,Ecx,Mpc,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-852	lime	...3..2........3..2...35.2...2..3.....22.........2............2.........1.......2	....O..OO..O.OO....OO...O..O...O.O..O......OO.O.O.O...O.O...O.....O...OO.O.O.O...	{"work": 33, "mta": 2, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,MalC,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-466	lime	.......2.1...........2....1.3..3.33.3........2...3......6............1...........	..O..OO....O..OO..O...O.O..O....O..O.O..O..O..O.O...O....O...OO.OOO.....O...O...O	{"work": 34, "mta": 2, "logic_history": "Ecx,ECx,Ecx,Ecx,ECx,ECx,Ecx,Mpc,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-1152	lime	2..2....................3.4..2.4....3.3...3..22............4.....................	.OO.O....O......OO....OO.O.OO......O.O..OO......O..OO.O..O..O....O..OO....OO....O	{"work": 34, "mta": 2, "logic_history": "Ecx,ECx,Ecx,Ecx,Mamc,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-290	lime	....22...3.......3...4........5....1.......32..2...........4.....4.......2...2...	.O.....OO....OO.O.OO..O......O.O..O.O.OO..........OO.OO.....O.O.O.O.O.....OO..O..	{"work": 35, "mta": 2, "logic_history": "Mgc,Ecx,Ecx,Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
