
# Generated 200 puzzle(s) in 404.31 seconds | 13.34 avg clues/puzzle

# Command line: python gen_puzzles.py -pt lime-windows -r 4208521545 -n 200 -mint 1 -maxt 3 -ed -o ./puzzledata/lime-lvp4-V2.tsv
puzzle-25	lime-windows	......2..........2...........554........324....3.324..3..........................	.O.....OOO...O.O....OOO.....O...OO....OO...O.O..O...O......OO.OOOO..........OO..O	{"work": 14, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-109	lime-windows	..2.........3.........3...3....1.3......33....31.3.3..........2..3...............	.O.O..O......OO..O.OO....O...O..O..OO.....O.OO..O.O...O...O..O..O.O...O...O.O.O..	{"work": 15, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-139	lime-windows	.....3..1.........3....4........33.3..............1.....3....2.................32	..O.O.O...O...O..O.O..O.O...O..O..O....O...OOO.OO.....O..O.O........O.OOO.O...O..	{"work": 15, "mta": 1, "logic_history": "Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
puzzle-19	lime-windows	1....3.............3..34........3.....4..3.3.....2..43..............2.....2..1...	...OO..O..O...OO..O.O...O.....OO...O.O....O.O.OO..O........O.OOO.O.O....O..O...O.	{"work": 16, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,Ecx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-76	lime-windows	.3....2........................4.....333.223..1.................3...4.....2.2....	..OO...O.OO....O......OO..O.OO..O...O...O...O...O...OO...O..OO.O.O.O.....O...OO..	{"work": 16, "mta": 1, "logic_history": "ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-79	lime-windows	....22......4.3...33.....3.1.......3...4....2....2.......3...3...................	..OO..O..OO..O.......O..O.O.O...O.O...O.O..O...OO..O..OO......O....OO.O.O....O..O	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-103	lime-windows	.....34...........................2....3..23.2......3.3.....34.2.................	O...O..O......OOO.O.OO.....O..O....O..O..O..O.O..O.O...O..O...O.O....OO...OO.O...	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx"}
puzzle-142	lime-windows	..............4........4.......3...233..33.3......44.3.......4...4...............	O....O.O...O.O.O....O.O..O.OO...O......O..O.O.O..O..O......OO.O.O.O....OO.OO.....	{"work": 16, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx"}
puzzle-73	lime-windows	.........2...........33.......4.......13..4....12.....233..4.3.......1...........	...O..OO..O...O..OO.O..O.....O.O..O.O...O..O.O....OO.....O..O.O.OO.O.....O.O....O	{"work": 17, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,Ecx,ECx,Ecx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-106	lime-windows	.............321...2.......232.......3.3..4.......342.2......3...................	.O..O...O...O...OOO.O.O.......O..OO.O....O.O.O.OO......O...OO......O.O.O.OO..O...	{"work": 17, "mta": 1, "logic_history": "Ecx,ECx,Ecx,Ecx,ECx,Ecx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-130	lime-windows	....1.33...2........3........54...2....3.....1.................1.....2.......3...	O....O..OO.....OO..O.OO.....O..O.O...OO....O....O.O.O...OO....O....OO..OO.O...O..	{"work": 17, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-22	lime-windows	..............33............55322.2...........................12.23.3.3.........2	....O..OO.O..O..O..OO..O...O.....O.O.OOO........O.OO..O.OO.........O.O.OO....O.O.	{"work": 18, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,Ecx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-67	lime-windows	.....3........3..2...4.2..3...2...3............1.3........22........21.......1...	.O..O.O.....OO..O.O.O....O...O..O..OO....OO..O....O.O....O..O.O.OO.....O.O.OO....	{"work": 18, "mta": 1, "logic_history": "ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-124	lime-windows	.....4...1...3...1.4.....32....33.2.....3.....24....3.....4......................	..O.O.O.......OOO.O.O.O.....OO.....O...O.OO..O..O....O.O.O...O.....OO.O.OO......O	{"work": 18, "mta": 1, "logic_history": "Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-166	lime-windows	....3..............5..................4..33.......4.4.....33.4....4.3............	...O.O..OOO...O...O.....O.O.OO....O..O..O..O....OO.O.....O..O.OO.O....O...O.OO...	{"work": 18, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx"}
