
# Generated 200 puzzle(s) in 975.63 seconds | 12.65 avg clues/puzzle

# Command line: python gen_puzzles.py -pt lime-jigsaw-windows -r 5076541051 -n 200 -mint 1 -maxt 3 -ed -o ./puzzledata/lime-lvp6-V2.tsv
puzzle-193	lime-jigsaw-windows	AABBBBBCDAAABBBCCDAAAABCCCDEEEECCCFDEFFFFFFFDEFGGGDDDDEGGGHIIIIEGGHHHIIIEGHHHHHII	...2.......4.......2..2...22........12...........5.....3............2.......1....	.OO..O......O..O.OO..O..O...O....O.O....OO.O...OO.O...O...O..O..O..O..O.O.O.....O	{"work": 12, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx"}
puzzle-106	lime-jigsaw-windows	AAAAABBBCADAAABBBCDDDDDBBBCDEFFDDCCCEEFFFFFCCEEEGGFFCGEHHHGGGGGEHHHIIIGIEHHHIIIII	.....................2..........1..........4.1.....45.........2............5.3...	.O...O..O...OOO...OO.....O.OO.....O....O..O.O..O..O..OO.....OO...OOO......O.O.O..	{"work": 13, "mta": 1, "logic_history": "Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-37	lime-jigsaw-windows	AAAAAABBBAAACCCDBBECCCCFDBBECEFCFDBBEEEFFFDDDEGEFGFDHHEGGGGFDHHIIIGGGDHHIIIIIIHHH	1....322.....2...23...22..........3...45..........2.........................2....	..O.O...OO....OO...OO....O.O..O....O.O..O..O...OOO.......O...OOO....OO...O...OO..	{"work": 14, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,Ecx,ECx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-4	lime-jigsaw-windows	ABBBBBBCCABBDDBCCCAAADDECCCADDDEEECFAADDEGGFFAHEEEGGGFHHHEGGFFFHHHIGGIIFHHIIIIIIF	.........2........1.............32....3....1.2.......32........1...3..43.......2.	OO....O....O...OO....O.O..OO.O.O....O..O.O....O..O..O.....O..OO.OO...O.....O.O..O	{"work": 15, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-115	lime-jigsaw-windows	ABBBBCCCCABBBBCCCCAABDEECEEAADDDEEEEFAAADGGGEFFFFDDDGGFFHFFDIGGHHHHIIIIGHHHHIIIIG	...........2...3...4.....4.2..............33.2........1...4....2.......2...3....2	...OO.O..OO......O.....OO.O.OO...O..O..O.O.......O..OO.O.O.O.....O.O..O.O.O....O.	{"work": 16, "mta": 1, "logic_history": "Ecx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-22	lime-jigsaw-windows	ABBBBBBCCAAABBDBCCAADDDDDCCAEEDDDCCCAAEEEEEFFGGGHHHEEFGGHHHHHFFGGIHIIFFFGGIIIIIIF	..32..........3..........4....3........2.2.....44........3......334.....1...2....	OO...O.....OO....O...O.OO..O......OO..O.O..O..O...O.O..OO.O....O...O.O.....O..O.O	{"work": 17, "mta": 1, "logic_history": "ECx,Ecx,Ecx,ECx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx"}
puzzle-40	lime-jigsaw-windows	AAAABBBBBAAACCBBDBEAACCBDDDECCCFFFDDECCFFFGGDEEFFFGGGDEEEHGGIIDHEHHGGIIIHHHHHIIII	..21.............1.......3........3...2...3..1......43.3..2..............322.....	OO.....O....O.OO....OO..O..O...O...O.O.O...O.....OOO....O....OO.OO.....OO...OO...	{"work": 17, "mta": 1, "logic_history": "ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx"}
puzzle-157	lime-jigsaw-windows	AAAABCCCCAAABBBCCCAABBBBBCCDDEEEEEFFDDDEEEFFFDDDGEGFFFHDGGGGGFIHHHHGIIIIHHHHGIIII	...2......323..4.....3........434......4.......3.3.........1...2..2..............	..O..OO..O...O..O..O..OO....OO...O....O.O...OO..O....O...O..OO..O.....OOO..O.O...	{"work": 17, "mta": 1, "logic_history": "ECx,Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,ECx,ECx,ECx"}
puzzle-169	lime-jigsaw-windows	AAAABBBBBAAACCBDDBAAEECBBDDEEEECDDDDEFEECGGDGFFFFCGGGGFFHHCGGIIHFFHCCIIIHHHHHIIII	............4.....2...4.......24.2.....2.3.....2.3.2...3...2.3..............1....	...O..OO...O.O.O...O.O.O...O....O..OO...O...O...O.O.O.O.O.....O.O..O..O..OO...O..	{"work": 17, "mta": 1, "logic_history": "Ecx,Ecx,Ecx,ECx,Ecx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
puzzle-88	lime-jigsaw-windows	ABBBBBBCCAADDBBCCCAADDBEECCAAADEEFCCADDDEFFFGHHDEEFGGGHHEEIFFGGHHHIIFFGGHHIIIIIIG	...............33.....22....3..........213.....43..2....3.4..2..............3....	..O.OO....O.O....O...O..OO.O.....O.OO.O...O...O..O..O.OO.O.........OO.O...O..O..O	{"work": 18, "mta": 1, "logic_history": "Ecx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,Ecx,ECx,ECx,ECx,Ecx,ECx,ECx,ECx,ECx"}
